""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENST00000011989"	13.6347852902903	0.559096939409627	0.310127669082595	1.80279605835726	0.0714202494475907	0.897737609911354
"ENST00000024061"	46.7656287975136	0.0359436791478328	0.283197074936285	0.126921081921201	0.899002860619859	0.999436769064181
"ENST00000040738"	165.941369639999	0.211306092623821	0.228408006491838	0.925125593753527	0.354900581416509	0.99106806652658
"ENST00000075120"	518.603613813491	0.281923066513167	0.321061002057141	0.878098133086223	0.379890466037407	0.991488328061411
"ENST00000160262"	98.2862679450234	0.324451565102712	0.389932687578482	0.832070702042413	0.405369037908525	0.993359063784917
"ENST00000200639"	36.4458497919237	0.591616680215555	0.19778029775703	2.99128217989816	0.00277808651298608	0.557273195362006
"ENST00000200652"	9.28356164116005	0.0854001855178479	0.370570261850734	0.230456122116585	0.817737355357693	0.999436769064181
"ENST00000202677"	116.267432235135	0.218319262272073	0.30883375512191	0.706915156297903	0.479619204641404	0.995354255601356
"ENST00000216133"	24.4995085119296	0.0851972325686663	0.24048585468471	0.354271284189935	0.723135585911142	0.997732656052667
"ENST00000220597"	126.398333375305	0.465943127526432	0.255534776498198	1.82340397620877	0.0682422285358578	0.89471081476691
"ENST00000222329"	21.6439864677756	0.287210627062586	0.272619137379392	1.05352335064756	0.292101198068577	0.99106806652658
"ENST00000222823"	6.22699683484437	1.41586770882648	0.473762283034155	2.9885614780449	0.00280294104186916	0.557273195362006
"ENST00000224140"	400.447213502569	0.504312946603377	0.195953286397308	2.57363862518156	0.0100635323236969	0.729030860774165
"ENST00000225276"	12.940734235949	0.332938105726077	0.373431314518372	0.891564506729918	0.37262640160238	0.99106806652658
"ENST00000225538"	9.26706346450645	0.588263231472912	0.559772662295137	1.05089667841398	0.293306046113751	0.99106806652658
"ENST00000227163"	43.5918482083839	0.253138778598976	0.388325226893028	0.651873123526709	0.514483024334831	0.997732656052667
"ENST00000227471"	48.7818791676865	0.334532340773643	0.222201955479377	1.50553283859237	0.132187140730494	0.944741375952793
"ENST00000229633"	47.3646489824248	-0.174291642490153	0.387797247514066	-0.449440122660569	0.653114193167368	0.997732656052667
"ENST00000231461"	99.1834070919959	0.618497979609892	0.310828428052256	1.98983723427611	0.0466088683192727	0.86391262775659
"ENST00000232375"	48.2665159800057	0.0608149099402315	0.236692523720711	0.25693633657813	0.79722791941824	0.999436769064181
"ENST00000232564"	39.6426579932253	0.559773517164118	0.362678661097412	1.54344210787127	0.122723543678451	0.944741375952793
"ENST00000234310"	59.2677688292303	0.303527841289776	0.224437132171507	1.35239582841324	0.176248723213152	0.970611203140208
"ENST00000237858"	25.6560862815527	0.874071114059353	0.383969058013036	2.27641028832505	0.022821464473843	0.828283100179479
"ENST00000240364"	5.70003081671423	0.66876651580007	0.293174870970551	2.2811181380796	0.0225414571093095	0.828283100179479
"ENST00000241261"	165.747073768453	0.649727710976907	0.259663828744235	2.5021879794312	0.012342836989705	0.778862533402287
"ENST00000242310"	6.43127377124844	0.176220059228493	0.28095513692312	0.627217787004598	0.530516485364084	0.997732656052667
"ENST00000242351"	106.656820838744	0.927165058986884	0.29315398224945	3.16272373949176	0.00156300577996521	0.505055036467782
"ENST00000243346"	34.3073184223435	0.44055911829653	0.306135972491074	1.4390962117638	0.150123265201782	0.9581759562334
"ENST00000244709"	426.548209375513	0.348906101941809	0.305311815118417	1.14278611132846	0.253127406634195	0.987777860702241
"ENST00000244763"	8.37829663244212	0.131243114888273	0.220976001289024	0.593924743513726	0.552562448700846	0.997732656052667
"ENST00000245414"	153.59906558176	0.397941908511035	0.257040805742699	1.54816628185246	0.121582267190887	0.944741375952793
"ENST00000245621"	69.0330600305079	1.01941419302593	0.4608484994082	2.21203756621756	0.0269640693793324	0.836233882415059
"ENST00000246024"	36.6552259530321	0.308571319463794	0.262537337546185	1.17534260973265	0.239857673880686	0.981362029663194
"ENST00000246186"	10.3350836167588	0.180843508826472	0.251878486177095	0.717979179449736	0.47277012462452	0.995020921141805
"ENST00000248598"	135.810007190142	0.587661995973176	0.308633062346018	1.90407985296899	0.0568997851615464	0.888453079395514
"ENST00000248668"	35.4247263634721	0.511520757151213	0.315176202431441	1.62296757561346	0.104596336402594	0.930818948106206
"ENST00000249071"	108.715079095118	0.37228979729579	0.30479419122174	1.22144649740043	0.221917011272911	0.98002225315673
"ENST00000251810"	17.6381273256564	0.600432660348321	0.33675665338087	1.78298677790112	0.0745884556866092	0.904819797349162
"ENST00000252244"	75.0958308842809	-0.332308807945195	0.275318933841375	-1.20699584045554	0.227433745875168	0.98002225315673
"ENST00000254190"	205.755604349575	0.538125342092222	0.292787979632591	1.83793522796768	0.0660719503349123	0.891926912748951
"ENST00000255409"	36.9134375658762	0.100907351393087	0.362045615032126	0.278714469126034	0.78046395760626	0.999436769064181
"ENST00000256257"	23.4582269559582	0.0541290609930936	0.23123147136218	0.234090371324545	0.814914820856664	0.999436769064181
"ENST00000260810"	11.6634210818071	0.4298981115603	0.288244433803581	1.49143595207548	0.135847074958433	0.944741375952793
"ENST00000261024"	26.2332844487858	0.599753061814251	0.298990611224743	2.00592607024517	0.044864136293755	0.860058633579485
"ENST00000261211"	33.1368579018984	0.664299610787468	0.232662747615787	2.85520401351262	0.00430091913566114	0.626138400664454
"ENST00000261623"	36.8918574966674	0.167601220317027	0.312699624676577	0.53598152057386	0.591971322044234	0.997732656052667
"ENST00000261837"	9.18787344503236	-0.518317460119668	0.309025907494561	-1.67726215682674	0.0934912292017767	0.9189014044225
"ENST00000262605"	7.15489325481552	0.244253982005195	0.322388457753062	0.757638730950736	0.448667287099373	0.993359063784917
"ENST00000262715"	32.5664941565342	0.313600851309743	0.348682549035934	0.899387859176815	0.368446103713321	0.99106806652658
"ENST00000263955"	185.579190410959	0.69214963996606	0.288271434402184	2.40103443270901	0.0163487980524924	0.804916755757977
"ENST00000264192"	72.9303071642426	0.329216229928991	0.310672515450125	1.05968894432775	0.289286134096486	0.99106806652658
"ENST00000264824"	6.11045887325352	0.0925465284263221	0.358790990632575	0.257939945100505	0.796453255937812	0.999436769064181
"ENST00000267068"	23.7327055873964	0.306137683281264	0.315436542418007	0.970520666168029	0.331787028851197	0.99106806652658
"ENST00000267615"	24.9807750359081	0.140188337576489	0.357200892514282	0.392463570260772	0.694715723372762	0.997732656052667
"ENST00000268389"	123.449301747782	0.295024355428978	0.301690084018598	0.977905377263877	0.328121125371179	0.99106806652658
"ENST00000269280"	50.8976721006793	0.773568467127276	0.617034423636708	1.25368769957433	0.209955540537723	0.978040231365324
"ENST00000269389"	110.178602227677	0.195890304171688	0.248815593187634	0.787291108495623	0.431111473485984	0.993359063784917
"ENST00000272091"	33.0919163332696	0.368142334523919	0.198394315036095	1.85560929231737	0.0635092682359113	0.891926912748951
"ENST00000276431"	22.6801921157461	0.11729162226779	0.501850975737764	0.233718031723185	0.815203888117896	0.999436769064181
"ENST00000278612"	14.9517293840578	0.234592227687398	0.245902584118451	0.954004727231311	0.340081249523452	0.99106806652658
"ENST00000279907"	31.1285232333392	0.620737490218696	0.348413510391715	1.78161142350884	0.0748126202619543	0.904819797349162
"ENST00000285419"	8.63568365153821	0.501335630314612	0.463632442731101	1.08132128839262	0.279554220987866	0.99106806652658
"ENST00000289382"	54.4354796164208	0.644392079608923	0.299965311951788	2.1482219907897	0.0316961245421058	0.85690918227438
"ENST00000291107"	30.1085147174925	0.271797762483393	0.270466507994121	1.0049220677974	0.31493437738172	0.99106806652658
